date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,1,0,0
10/01/18,1,0,0
11/01/18,1,0,0
12/01/18,1,0,0
15/01/18,1,0,0
16/01/18,1,1,0
17/01/18,1,1,0
18/01/18,1,1,0
19/01/18,1,1,0
22/01/18,1,1,0
23/01/18,1,1,0
24/01/18,1,1,0
25/01/18,1,1,0
26/01/18,1,1,0
29/01/18,1,1,0
30/01/18,1,1,0
31/01/18,1,1,0
01/02/18,1,1,0
02/02/18,1,1,0
05/02/18,1,1,0
06/02/18,1,1,0
07/02/18,1,1,0
08/02/18,1,1,0
09/02/18,1,1,0
12/02/18,1,1,0
13/02/18,1,1,0
14/02/18,1,1,0
15/02/18,1,1,0
16/02/18,1,1,0
19/02/18,1,1,0
20/02/18,1,1,0
21/02/18,1,1,0
22/02/18,1,1,0
23/02/18,1,1,0
26/02/18,1,1,0
27/02/18,1,1,0
28/02/18,1,1,0
02/03/18,1,1,0
05/03/18,1,1,0
06/03/18,1,1,0
07/03/18,1,1,0
08/03/18,1,1,0
09/03/18,1,1,0
12/03/18,1,1,0
13/03/18,1,1,0
14/03/18,1,1,0
15/03/18,1,1,0
16/03/18,1,1,0
19/03/18,1,1,0
20/03/18,1,1,0
21/03/18,1,1,0
22/03/18,1,1,0
23/03/18,1,1,0
26/03/18,1,1,0
27/03/18,1,1,0
28/03/18,1,1,0
29/03/18,1,1,0
30/03/18,1,1,0
02/04/18,1,1,0
03/04/18,1,1,0
04/04/18,1,1,0
05/04/18,1,1,0
09/04/18,1,1,0
10/04/18,1,1,0
11/04/18,1,1,0
12/04/18,1,1,0
17/04/18,1,1,0
18/04/18,1,1,0
19/04/18,1,1,0
20/04/18,1,1,0
23/04/18,1,1,0
24/04/18,1,1,0
25/04/18,1,1,0
26/04/18,1,1,0
27/04/18,1,1,0
30/04/18,1,1,0
02/05/18,1,1,0
03/05/18,1,1,0
04/05/18,1,1,0
07/05/18,1,1,0
08/05/18,1,1,0
09/05/18,1,1,0
10/05/18,1,1,0
11/05/18,1,1,0
14/05/18,1.0392156862745099,1.0198019801980198,0
15/05/18,1.037677816224529,1.019409861778257,0
16/05/18,1.0362002548039593,1.0190255080796777,0
17/05/18,1.03478063696851,1.0186487653454266,0
18/05/18,1.0334166904207254,1.018279482863339,0
21/05/18,1.0321062319728538,1.0179175129056492,0
22/05/18,1.0308471640523498,1.017562710669894,0
23/05/18,1.0296374713444145,1.017214934220985,0
24/05/18,1.0284752175662022,1.0168740444344309,0
25/05/18,1.0273585423675275,1.0165399049406798,0
28/05/18,1.0262856583531148,1.0162123820705673,0
30/05/18,1.0252548482216202,1.0158913448018432,0
31/05/18,1.0634801482913605,1.035378644904777,0
01/06/18,1.0609907307113071,1.03467807767894,0
04/06/18,1.0585989373500795,1.0339913830714362,0
05/06/18,1.0563009398069392,1.0333182863769523,0
06/06/18,1.0540930598145102,1.032658518329884,0
07/06/18,1.051971763351196,1.0320118149966189,0
08/06/18,1.0499336549844824,1.0313779176699531,0
11/06/18,1.0479754724360713,1.0307565727655976,0
12/06/18,1.046094081360147,1.0301475317207343,0
13/06/18,1.0442864703264156,1.029550550894581,0
14/06/18,1.0425497459998896,1.028965391470926,0
15/06/18,1.040881128509698,1.028391819362591,0
18/06/18,1.0392779469995137,1.027829605117787,0
19/06/18,1.0377376353524739,1.027278523828326,0
20/06/18,1.0362577280837495,1.0267383550396463,0
21/06/18,1.0348358563941906,1.0262088826626237,0
22/06/18,1.0334697443787322,1.0256898948871263,0
25/06/18,1.0321572053834878,1.0251811840972822,0
26/06/18,1.0308961385057038,1.024682546788425,0
27/06/18,1.0296845252309703,1.024193783485684,0
28/06/18,1.0285204262023049,1.0237146986641854,0
29/06/18,1.02740197811594,1.0232451006708352,0
02/07/18,1.0263273907388444,1.0227848016476504,0
03/07/18,1.0252949440432033,1.0223336174566078,0
04/07/18,1.0243029854532737,1.021891367605982,0
05/07/18,1.0233499272002042,1.0214578751781407,0
06/07/18,1.0224342437805884,1.0210329667587716,0
09/07/18,1.021554469514683,1.0206164723675089,0
10/07/18,1.0207091962003816,1.0202082253899345,0
11/07/18,1.0198970708591901,1.0198080625109258,0
12/07/18,1.0191167935705945,1.0194158236493234,1
13/07/18,1.0183671153913554,1.0190313518938912,1
16/07/18,1.0176468363564002,1.0186544934405468,1
17/07/18,1.01695480355811,1.018285097530833,1
18/07/18,1.0162899093009292,1.0179230163916086,1
19/07/18,1.0156510893283437,1.0175681051759333,1
20/07/18,1.015037321119389,1.0172202219051227,1
23/07/18,1.014447622251962,1.016879227411952,1
24/07/18,1.0138810488303165,1.0165449852849826,1
25/07/18,1.0133366939742257,1.016217361813993,1
26/07/18,1.0128136863673933,1.015896225936488,1
31/07/18,1.0123111888627896,1.0155814491852706,1
01/08/18,1.0118283971426802,1.0152729056370475,1
02/08/18,1.0113645384312027,1.0149704718620565,1
03/08/18,1.01091887025743,1.014674026874689,1
06/08/18,1.0104906792669426,1.0143834520850912,1
07/08/18,1.0100792800800036,1.014098631251723,1
08/08/18,1.0096840141945131,1.0138194504348572,1
09/08/18,1.0093042489319832,1.0135457979509988,1
10/08/18,1.0089393764248467,1.0132775643282066,1
14/08/18,1.00858881264348,1.0130146422623014,1
15/08/18,1.0082519964613827,1.0127569265739391,1
16/08/18,1.0079283887570147,1.0125043141665344,1
17/08/18,1.0076174715508572,1.012256703985019,1
20/08/18,1.0073187471763139,1.0120139969754147,1
21/08/18,1.007031737483125,1.0117760960452085,1
22/08/18,1.006755983072022,1.0115429060245114,1
23/08/18,1.0064910425593938,1.0113143336279864,1
24/08/18,1.0062364918707902,1.0110902874175312,1
27/08/18,1.0059919235621317,1.0108706777656988,1
28/08/18,1.0057569461675384,1.0106554168198434,1
29/08/18,1.005531183572733,1.0104444184669752,1
30/08/18,1.005314274413018,1.0102375982993124,1
31/08/18,1.0051058714948604,1.010034873580514,1
03/09/18,1.00490564124016,1.009836163212583,1
04/09/18,1.0047132631523106,1.009641387703423,1
05/09/18,1.0045284293032004,1.0094504691350383,1
06/09/18,1.00435084384033,1.0092633311323642,1
07/09/18,1.0041802225132581,1.0090798988327134,1
10/09/18,1.0040162922186204,1.008900098855828,1
11/09/18,1.0038587905629883,1.0087238592745247,1
12/09/18,1.003707465442871,1.0085511095859203,1
13/09/18,1.0035620746411897,1.008381780683229,1
14/09/18,1.0034223854395745,1.0082158048281156,1
17/09/18,1.0032881742458657,1.0080531156235983,1
18/09/18,1.0031592262362239,1.0078936479874874,1
19/09/18,1.003035335011274,1.007737338126349,1
20/09/18,1.0029163022657337,1.0075841235099856,1
21/09/18,1.002801937470999,1.0074339428464216,1
24/09/18,1.0026920575701757,1.0072867360573836,1
25/09/18,1.0025864866850707,1.0071424442542671,1
26/09/18,1.0024850558346758,1.0070010097145787,1
27/09/18,1.0023876026646885,1.0068623758588444,1
28/09/18,1.002293971187642,1.0067264872279762,1
01/10/18,1.0022040115332247,1.0065932894610856,1
02/10/18,1.0021175797083923,1.0064627292737374,1
03/10/18,1.0020345373668866,1.0063347544366337,1
04/10/18,1.0019547515877931,1.0062093137547201,1
05/10/18,1.0018780946627817,1.0060863570467058,1
08/10/18,1.0018044438916922,1.005965835124989,1
09/10/18,1.0017336813861357,1.0058476997759793,1
10/10/18,1.001665693880797,1.0057319037408115,1
11/10/18,1.0016003725521383,1.005618400696439,1
12/10/18,1.0015376128442113,1.0055071452371036,1
16/10/18,1.001477314301301,1.0053980928561708,1
17/10/18,1.0014193804071323,1.0052911999283258,1
18/10/18,1.001363718430382,1.0051864236921213,1
19/10/18,1.0013102392762494,1.0050837222328715,1
22/10/18,1.0012588573438475,1.004983054465884,1
24/10/18,1.0012094903891868,1.004884380120025,1
25/10/18,1.0011620593935324,1.0047876597216086,1
26/10/18,1.0011164884369232,1.0046928545786065,1
29/10/18,1.0010727045766517,1.0045999267651686,1
30/10/18,1.0010306377305085,1.0045088391064525,1
31/10/18,1.0009902205646062,1.0044195551637505,1
01/11/18,1.000951388385602,1.0043320392199138,1
02/11/18,1.0009140790371471,1.004246256265064,1
05/11/18,1.0008782328003962,1.0041621719825875,1
06/11/18,1.00084379229842,1.0040797527354075,1
07/11/18,1.0008107024043642,1.003998965552528,1
08/11/18,1.0007789101532127,1.0039197781158444,1
09/11/18,1.0007483646570083,1.003842158747214,1
12/11/18,1.0007190170234002,1.0037660763957839,1
13/11/18,1.0006908202773845,1.0036915006255702,1
14/11/18,1.0006637292861145,1.0036184016032816,1
15/11/18,1.000637700686659,1.003546750086385,1
16/11/18,1.000612692816594,1.003476517411407,1
19/11/18,1.0005886656473157,1.0034076754824683,1
20/11/18,1.00056558071997,1.0033401967600433,1
21/11/18,1.0005434010838927,1.0032740542499434,1
22/11/18,1.0005220912374655,1.0032092214925188,1
23/11/18,1.0005016170712904,1.0031456725520729,1
26/11/18,1.0004819458135927,1.0030833820064873,1
27/11/18,1.0004630459777655,1.0030223249370518,1
28/11/18,1.0004448873119707,1.0029624769184964,1
29/11/18,1.000427440750717,1.0029038140092192,1
30/11/18,1.000410678368336,1.00284631274171,1
03/12/18,1.0003945733342836,1.0027899501131612,1
04/12/18,1.000379099870194,1.0027347035762668,1
06/12/18,1.0003642332086178,1.0026805510302021,1
07/12/18,1.0003499495533779,1.0026274708117824,1
11/12/18,1.0003362260414808,1.0025754416867967,1
12/12/18,1.0003230407065207,1.0025244428415137,1
13/12/18,1.0003103724435198,1.002474453874355,1
14/12/18,1.0002982009751464,1.0024254547877343,1
17/12/18,1.0002865068192583,1.0023774259800564,1
18/12/18,1.0002752712577188,1.0023303482378771,1
19/12/18,1.0002644763064357,1.0022842027282162,1
20/12/18,1.0002541046865754,1.0022389709910238,1
21/12/18,1.0002441397969057,1.0021946349317956,1
24/12/18,1.0002345656872231,1.0021511768143343,1
25/12/18,1.0002253670328223,1.0021085792536544,1
26/12/18,1.0002165291099665,1.0020668252090275,1
27/12/18,1.0002080377723208,1.0020258979771655,1
28/12/18,1.0001998794283082,1.0019857811855384,1
02/01/19,1.000192041019355,1.0019464587858247,1
03/01/19,1.0001845099989881,1.0019079150474914,1
04/01/19,1.0001772743127533,1.0018701345515015,1
07/01/19,1.0001703223789198,1.0018331021841451,1
08/01/19,1.0001636430699425,1.0017968031309938,1
09/01/19,1.0001572256946507,1.0017612228709742,1
10/01/19,1.000151059981135,1.0017263471705589,1
11/01/19,1.0001451360603062,1.0016921620780725,1
14/01/19,1.0001394444500982,1.0016586539181107,1
15/01/19,1.0001339760402903,1.0016258092860688,1
16/01/19,1.000128722077926,1.0015936150427802,1
17/01/19,1.0001236741533015,1.0015620583092597,1
18/01/19,1.0001188241865053,1.0015311264615516,1
21/01/19,1.0001141644144855,1.0015008071256792,1
22/01/19,1.0001096873786233,1.0014710881726956,1
23/01/19,1.0001053859127949,1.0014419577138303,1
24/01/19,1.000101253131901,1.0014134040957345,1
25/01/19,1.000097282420846,1.001385415895819,1
28/01/19,1.00009346742395,1.001357981917684,1
29/01/19,1.0000898020347755,1.0013310911866409,1
30/01/19,1.0000862803863528,1.0013047329453213,1
31/01/19,1.00008289684179,1.0012788966493744,1
01/02/19,1.0000796459852492,1.0012535719632483,1
04/02/19,1.0000765226132786,1.0012287487560552,1
05/02/19,1.0000735217264833,1.0012044170975194,1
06/02/19,1.0000706385215232,1.0011805672540042,1
07/02/19,1.0000678683834243,1.0011571896846179,1
08/02/19,1.000065206878192,1.0011342750373977,1
11/02/19,1.0000626497457137,1.0011118141455682,1
12/02/19,1.0000601928929407,1.0010897980238738,1
13/02/19,1.0000578323873353,1.0010682178649852,1
14/02/19,1.000055564450577,1.0010470650359755,1
15/02/19,1.0000533854525153,1.001026331074867,1
18/02/19,1.000051291905358,1.001006007687246,1
20/02/19,1.000049280458089,1.000986086742944,1
21/02/19,1.0000473478911052,1.0009665602727869,1
22/02/19,1.000045491111062,1.000947420465405,1
25/02/19,1.0000437071459223,1.0009286596641098,1
26/02/19,1.0000419931401998,1.0009102703638304,1
27/02/19,1.000040346350388,1.000892245208111,1
28/02/19,1.0000387641405688,1.0008745769861682,1
01/03/19,1.0000372439781935,1.0008572586300064,1
04/03/19,1.000035783430029,1.0008402832115904,1
05/03/19,1.0000343801582632,1.0008236439400737,1
06/03/19,1.0000330319167627,1.0008073341590822,1
07/03/19,1.000031736547478,1.0007913473440508,1
08/03/19,1.0000304919769887,1.0007756770996141,1
11/03/19,1.0000292962131851,1.0007603171570476,1
12/03/19,1.0000281473420798,1.0007452613717596,1
13/03/19,1.0000270435247434,1.0007305037208336,1
14/03/19,1.0000259829943612,1.000716038300619,1
15/03/19,1.0000249640534058,1.0007018593243693,1
18/03/19,1.0000239850709194,1.0006879611199264,1
19/03/19,1.000023044479903,1.0006743381274525,1
20/03/19,1.0000221407748087,1.000660984897206,1
21/03/19,1.00002127250913,1.0006478960873602,1
22/03/19,1.0000204382930857,1.000635066461868,1
25/03/19,1.000019636791396,1.0006224908883656,1
26/03/19,1.0000188667211451,1.0006101643361207,1
27/03/19,1.0000181268497277,1.0005980818740192,1
28/03/19,1.0000174159928756,1.000586238668593,1
29/03/19,1.000016733012763,1.0005746299820863,1
01/04/19,1.000016076816184,1.00056325117056,1
02/04/19,1.0000154463528044,1.0005520976820341,1
03/04/19,1.0000148406134788,1.0005411650546672,1
04/04/19,1.0000142586286365,1.000530448914971,1
05/04/19,1.0000136994667292,1.0005199449760607,1
09/04/19,1.00001316223274,1.0005096490359406,1
10/04/19,1.0000126460667502,1.000499556975823,1
11/04/19,1.0000121501425638,1.00048966475848,1
12/04/19,1.0000116736663849,1.000479968426629,1
17/04/19,1.0000112158755463,1.0004704641013493,1
18/04/19,1.0000107760372896,1.0004611479805305,1
19/04/19,1.000010353447592,1.0004520163373518,1
22/04/19,1.0000099474300392,1.0004430655187904,1
23/04/19,1.0000095573347436,1.000434291944161,1
24/04/19,1.0000091825373028,1.0004256921036825,1
25/04/19,1.0000088224378008,1.0004172625570749,1
26/04/19,1.0000084764598478,1.0004089999321824,1
29/04/19,1.0000081440496578,1.0004009009236243,1
30/04/19,1.0000078246751614,1.0003929622914733,1
02/05/19,1.000007517825155,1.000385180859959,1
03/05/19,1.0000072230084822,1.0003775535161976,1
07/05/19,1.0000069397532476,1.000370077208946,1
08/05/19,1.0000066676060615,1.0003627489473828,1
09/05/19,1.000006406131314,1.00035556579991,1
10/05/19,1.0000061549104782,1.000348524892981,1
13/05/19,1.0000059135414399,1.0003416234099518,1
14/05/19,1.000005681637854,1.0003348585899527,1
15/05/19,1.0000054588285263,1.0003282277267853,1
16/05/19,1.0000052447568195,1.0003217281678392,1
17/05/19,1.0000050390800814,1.0003153573130306,1
21/05/19,1.0000048414690978,1.0003091126137627,1
22/05/19,1.0000046516075647,1.000302991571906,1
23/05/19,1.0000044691915817,1.000296991738799,1
24/05/19,1.0000042939291667,1.0002911107142682,1
27/05/19,1.0000041255397876,1.0002853461456689,1
28/05/19,1.0000039637539135,1.0002796957269429,1
29/05/19,1.0000038083125835,1.0002741571976965,1
30/05/19,1.000003658966992,1.0002687283422966,1
31/05/19,1.0000035154780904,1.0002634069889837,1
04/06/19,1.0000033776162045,1.0002581910090038,1
05/06/19,1.000003245160667,1.0002530783157562,1
06/06/19,1.0000031178994644,1.000248066863959,1
07/06/19,1.0000029956288972,1.000243154648831,1
10/06/19,1.0000028781532542,1.0002383397052899,1
11/06/19,1.0000027652844992,1.0002336201071653,1
12/06/19,1.0000026568419698,1.0002289939664293,1
13/06/19,1.0000025526520886,1.0002244594324405,1
14/06/19,1.000002452548085,1.0002200146912041,1
17/06/19,1.000002356369729,1.0002156579646457,1
18/06/19,1.0000022639630728,1.0002113875099004,1
19/06/19,1.0000021751802073,1.0002072016186152,1
20/06/19,1.0000020898790227,1.0002030986162664,1
21/06/19,1.0000020079229825,1.0001990768614888,1
24/06/19,1.0000019291809048,1.0001951347454197,1
25/06/19,1.0000018535267516,1.000191270691055,1
26/06/19,1.0000017808394281,1.0001874831526183,1
27/06/19,1.0000017110025878,1.0001837706149428,1
28/06/19,1.0000016439044472,1.0001801315928647,1
01/07/19,1.0000015794376063,1.0001765646306298,1
02/07/19,1.0000015174988766,1.0001730683013104,1
03/07/19,1.0000014579891168,1.0001696412062349,1
04/07/19,1.0000014008130729,1.0001662819744281,1
05/07/19,1.000001345879227,1.0001629892620632,1
08/07/19,1.0000012930996494,1.0001597617519233,1
09/07/19,1.0000012423898592,1.0001565981528753,1
10/07/19,1.0000011936686883,1.000153497199353,1
11/07/19,1.0000011468581516,1.000150457650851,1
12/07/19,1.0000011018833221,1.0001474782914284,1
15/07/19,1.0000010586722115,1.0001445579292219,1
17/07/19,1.0000010171556541,1.0001416953959699,1
18/07/19,1.0000009772671972,1.0001388895465446,1
19/07/19,1.0000009389429934,1.0001361392584942,1
22/07/19,1.0000009021216996,1.0001334434315934,1
23/07/19,1.000000866744378,1.0001308009874035,1
24/07/19,1.0000008327544025,1.000128210868841,1
25/07/19,1.0000008000973672,1.000125672039755,1
26/07/19,1.000000768721,1.0001231834845123,1
30/07/19,1.0000007385750784,1.0001207442075912,1
31/07/19,1.00000070961135,1.0001183532331834,1
01/08/19,1.000000681783454,1.0001160096048036,1
02/08/19,1.0000006550468479,1.0001137123849064,1
05/08/19,1.0000006293587362,1.0001114606545123,1
06/08/19,1.0000006046780014,1.0001092535128389,1
07/08/19,1.0000005809651387,1.000107090076941,1
08/08/19,1.000000558182192,1.0001049694813582,1
09/08/19,1.0000005362926943,1.000102890877767,1
13/08/19,1.0000005152616083,1.000100853434643,1
14/08/19,1.0000004950552708,1.0000988563369273,1
15/08/19,1.0000004756413385,1.000096898785701,1
16/08/19,1.000000456988737,1.0000949799978653,1
19/08/19,1.00000043906761,1.0000930992058283,1
20/08/19,1.0000004218492724,1.0000912556571981,1
21/08/19,1.0000004053061637,1.0000894486144813,1
22/08/19,1.0000003894118044,1.0000876773547887,1
23/08/19,1.0000003741407533,1.0000859411695453,1
26/08/19,1.000000359468567,1.0000842393642078,1
27/08/19,1.0000003453717603,1.0000825712579857,1
28/08/19,1.0000003318277697,1.00008093618357,1
29/08/19,1.000000318814916,1.0000793334868656,1
30/08/19,1.0000003063123704,1.0000777625267296,1
02/09/19,1.0000002943001205,1.0000762226747153,1
03/09/19,1.0000002827589394,1.00007471331482,1
04/09/19,1.0000002716703535,1.0000732338432394,1
05/09/19,1.000000261016614,1.0000717836681259,1
06/09/19,1.0000002507806685,1.0000703622093512,1
09/09/19,1.0000002409461324,1.000068968898275,1
10/09/19,1.0000002314972645,1.000067603177517,1
11/09/19,1.0000002224189404,1.0000662645007345,1
12/09/19,1.000000213696629,1.0000649523324032,1
13/09/19,1.000000205316369,1.0000636661476032,1
16/09/19,1.0000001972647468,1.000062405431809,1
17/09/19,1.0000001895288744,1.000061169680684,1
18/09/19,1.0000001820963695,1.0000599583998784,1
19/09/19,1.0000001749553353,1.0000587711048312,1
20/09/19,1.0000001680943418,1.0000576073205771,1
23/09/19,1.0000001615024068,1.000056466581556,1
24/09/19,1.000000155168979,1.000055348431426,1
25/09/19,1.000000149083921,1.000054252422883,1
26/09/19,1.0000001432374928,1.0000531781174795,1
27/09/19,1.0000001376203362,1.0000521250854502,1
30/09/19,1.0000001322234604,1.0000510929055402,1
01/10/19,1.0000001270382266,1.0000500811648365,1
02/10/19,1.0000001220563353,1.000049089458602,1
03/10/19,1.0000001172698123,1.0000481173901148,1
04/10/19,1.000000112670996,1.0000471645705085,1
07/10/19,1.0000001082525256,1.0000462306186173,1
08/10/19,1.0000001040073285,1.0000453151608228,1
09/10/19,1.0000000999286098,1.0000444178309056,1
10/10/19,1.0000000960098407,1.0000435382698976,1
11/10/19,1.000000092244749,1.0000426761259391,1
15/10/19,1.0000000886273077,1.0000418310541384,1
16/10/19,1.000000085151727,1.0000410027164326,1
17/10/19,1.0000000818124435,1.0000401907814538,1
18/10/19,1.0000000786041123,1.0000393949243953,1
21/10/19,1.000000075521598,1.0000386148268825,1
22/10/19,1.0000000725599667,1.0000378501768452,1
24/10/19,1.0000000697144777,1.0000371006683928,1
25/10/19,1.0000000669805766,1.000036366001692,1
28/10/19,1.0000000643538873,1.0000356458828465,1
29/10/19,1.0000000618302054,1.0000349400237802,1
30/10/19,1.0000000594054914,1.0000342481421212,1
31/10/19,1.0000000570758643,1.0000335699610892,1
01/11/19,1.0000000548375951,1.0000329052093844,1
04/11/19,1.0000000526871011,1.0000322536210797,1
05/11/19,1.0000000506209403,1.0000316149355137,1
06/11/19,1.0000000486358054,1.0000309888971868,1
07/11/19,1.0000000467285188,1.0000303752556583,1
08/11/19,1.000000044896028,1.0000297737654473,1
11/11/19,1.0000000431353995,1.0000291841859335,1
12/11/19,1.0000000414438153,1.0000286062812616,1
13/11/19,1.0000000398185676,1.0000280398202466,1
14/11/19,1.000000038257055,1.0000274845762813,1
15/11/19,1.0000000367567785,1.0000269403272461,1
18/11/19,1.0000000353153362,1.0000264068554194,1
19/11/19,1.0000000339304211,1.0000258839473912,1
20/11/19,1.0000000325998164,1.0000253713939775,1
21/11/19,1.0000000313213921,1.0000248689901363,1
22/11/19,1.0000000300931022,1.0000243765348862,1
25/11/19,1.0000000289129807,1.0000238938312251,1
26/11/19,1.0000000277791383,1.0000234206860523,1
27/11/19,1.0000000266897604,1.000022956910091,1
28/11/19,1.0000000256431032,1.000022502317812,1
29/11/19,1.0000000246374914,1.0000220567273603,1
02/12/19,1.0000000236713154,1.0000216199604819,1
03/12/19,1.0000000227430286,1.0000211918424526,1
04/12/19,1.0000000218511451,1.000020772202008,1
06/12/19,1.0000000209942375,1.0000203608712752,1
09/12/19,1.000000020170934,1.0000199576857054,1
11/12/19,1.000000019379917,1.0000195624840083,1
12/12/19,1.0000000186199203,1.0000191751080874,1
13/12/19,1.0000000178897273,1.0000187954029767,1
16/12/19,1.0000000171881693,1.000018423216779,1
17/12/19,1.0000000165141234,1.000018058400605,1
18/12/19,1.0000000158665108,1.0000177008085138,1
19/12/19,1.0000000152442947,1.000017350297454,1
20/12/19,1.0000000146464791,1.0000170067272074,1
23/12/19,1.0000000140721075,1.000016669960332,1
24/12/19,1.00000001352026,1.0000163398621076,1
25/12/19,1.0000000129900537,1.0000160163004816,1
26/12/19,1.0000000124806399,1.0000156991460167,1
27/12/19,1.000000011991203,1.0000153882718381,1
30/12/19,1.0000000115209597,1.000015083553584,1
02/01/20,1.0000000110691574,1.0000147848693546,1
03/01/20,1.0000000106350728,1.0000144920996643,1
06/01/20,1.000000010218011,1.0000142051273937,1
07/01/20,1.0000000098173047,1.0000139238377423,1
08/01/20,1.0000000094323125,1.0000136481181832,1
09/01/20,1.000000009062418,1.0000133778584173,1
10/01/20,1.000000008707029,1.0000131129503298,1
13/01/20,1.000000008365577,1.000012853287947,1
14/01/20,1.000000008037515,1.0000125987673938,1
15/01/20,1.0000000077223183,1.0000123492868513,1
16/01/20,1.0000000074194824,1.0000121047465176,1
17/01/20,1.0000000071285222,1.0000118650485668,1
20/01/20,1.0000000068489723,1.00001163009711,1
21/01/20,1.0000000065803851,1.0000113997981575,1
22/01/20,1.0000000063223309,1.00001117405958,1
23/01/20,1.0000000060743963,1.0000109527910734,1
24/01/20,1.0000000058361846,1.0000107359041215,1
27/01/20,1.0000000056073146,1.0000105233119607,1
28/01/20,1.0000000053874198,1.0000103149295456,1
29/01/20,1.0000000051761484,1.000010110673515,1
